Coin,classification,rows,realized_trades,realized_rate,notional_usd,gross_pnl,fees,net_pnl,avg_net_per_row,avg_net_per_realized,median_net_realized,win_rate_realized,profit_factor,gross_win_sum,gross_loss_sum,pnl_per_1k_notional,avg_fee_bps
FTT,Greed,837.0,355.0,0.4241338112305854,218033.78,2282.892387,52.491862,2230.400525,2.6647557048984467,6.360827273239436,1.5814510000000002,0.856338028169014,10.704667760988023,2490.774876,-232.681194,10.229609948513481,2.4075105242866495
PENDLE,Neutral,228.0,125.0,0.5482456140350878,76005.64,2247.635948,22.307164,2225.3287840000003,9.760213964912282,17.891147336000003,6.38119,1.0,inf,2236.393417,0.0,29.278469124133423,2.9349353547973545
TAO,Greed,736.0,469.0,0.6372282608695652,1075316.43,2374.233545,161.742417,2212.4911279999997,3.006102076086956,4.910085628997868,0.8405819999999999,0.8784648187633263,5.714024408639954,2791.336362,-488.506202,2.057525642010324,1.5041378750253076
GRIFFAIN,Greed,119.0,105.0,0.8823529411764706,127970.57,1928.7459729999998,18.137952,1910.608021,16.055529588235295,18.26187480952381,11.775188,1.0,inf,1917.496855,0.0,14.930057910971248,1.4173533805467926
TNSR,Extreme Greed,402.0,164.0,0.4079601990049751,266788.61,1845.587758,82.08637199999998,1763.5013860000001,4.3868193681592045,11.050779317073172,1.7151399999999999,0.8048780487804879,51.2838444645753,1848.3697579999998,-36.04195,6.6101074779766655,3.0768319532081967
IP,Fear,332.0,176.0,0.5301204819277109,288193.65,1774.5243839999998,33.292660999999995,1741.231723,5.244673864457831,9.954779079545453,6.2650465,0.9318181818181818,3.11636394353229,2579.895478,-827.8543599999999,6.041880947064587,1.1552184095659288
OGN,Neutral,258.0,257.0,0.9961240310077519,58247.63999999999,1752.668422,12.329002000000003,1740.33942,6.745501627906977,6.782955,3.7308980000000003,1.0,inf,1743.219435,0.0,29.878282107223576,2.11665262317924
FTT,Extreme Greed,573.0,214.0,0.37347294938917974,129978.08,1600.851353,33.833317,1567.018036,2.734760970331588,7.396537584112149,2.409507,0.7616822429906542,7.195132502201543,1838.359477,-255.50043399999998,12.056017722372879,2.603001752295464
ADA,Extreme Greed,265.0,122.0,0.46037735849056605,144884.03999999998,1465.555881,42.992154,1422.5637269999997,5.3681650075471685,11.835184163934427,1.1541605,0.7459016393442623,16.883079727074044,1534.800056,-90.90758800000002,9.81863652476836,2.967349198710914
PENGU,Extreme Greed,322.0,129.0,0.40062111801242234,113307.75,1341.6826749999998,28.435451,1313.2472240000002,4.078407527950311,10.285569031007752,3.47363,0.751937984496124,3.7338475284933903,1812.175788,-485.337383,11.590091798663376,2.509576882428607
RUNE,Greed,182.0,117.0,0.6428571428571429,403701.28,1328.8252109999996,51.553167,1277.2720440000003,7.017978263736265,11.11925599145299,6.3139970000000005,0.7435897435897436,1.7187355214408353,3111.0109099999995,-1810.0579590000002,3.163903874666932,1.2770127208910511
